工	a
身	tm
乐	tn
秋	to
乏	tp
稳	tq
稀	tr
条	ts
秩	tt
冬	tu
委	tv
答	tw
每	tx
入	ty
并	ua
疗	ub
痛	uc
头	ud
前	ue
斗	uf
半	ug
着	uh
冰	ui
间	uj
问	uk
闸	ul
端	um
闷	un
普	uo
次	uq
交	ur
亲	us
道	ut
立	uu
妆	uv
闪	uw
北	ux
六	uy
既	va
好	vb
妈	vc
姑	vd
姐	ve
寻	vf
建	vg
肃	vh
录	vi
旭	vj
如	vk
姻	vl
姗	vm
恳	vn
灵	vo
退	vp
婚	vq
婢	vr
杂	vs
九	vt
嫌	vu
妇	vv
妗	vw
姆	vx
妨	vy
代	wa
他	wb
公	wc
估	wd
佣	we
什	wf
全	wg
个	wh
偿	wi
介	wj
保	wk
佃	wl
仙	wm
亿	wn
伙	wo
伫	wp
你	wq
风	wr
休	ws
八	wt
们	wu
分	wv
从	ww
化	wx
信	wy
红	xa
级	xb
弘	xc
顷	xd
组	xe
结	xf
线	xg
引	xh
纱	xi
旨	xj
强	xk
细	xl
贯	xm
纪	xn
继	xo
综	xp
约	xq
绵	xr
缚	xs
乡	xt
弱	xu
绍	xv
给	xw
比	xx
纺	xy
试	ya
享	yb
充	yc
诚	yd
衣	ye
计	yf
证	yg
让	yh
就	yi
刘	yj
训	yk
亩	yl
市	ym
记	yn
亦	yo
亮	yp
询	yq
义	yr
订	ys
放	yt
详	yu
良	yv
认	yw
率	yx
方	yy
工	aaa
匿	aad
芽	aah
苣	aan
荛	aat
藏	aau
式	aay
荫	abe
蒸	abi
茁	abm
芤	abn
萨	abu
芨	aby
茎	aca
苔	ack
茅	acn
莽	ada
苊	adb
茇	adc
蓐	adf
葳	adg
荐	adh
若	adk
项	adm
葚	adw
茏	adx
菔	aeb
荔	aee
苴	aeg
茄	aek
藐	aer
菜	aes
散	aet
藤	aeu
荽	aev
苏	aew
鞯	afa
靶	afc
薷	afd
勒	afe
蒜	afi
靼	afj
薹	afk
蕾	afl
贰	afm
苇	afn
鞍	afp
芜	afq
靳	afr
藉	afs
著	aft
蔷	afu
鞭	afw
甙	afy
荆	aga
菁	age
芋	agf
蔫	agh
蕙	agj
芾	agm
葬	agq
茉	ags
廾	agt
萋	agv
荑	agx
菲	ahd
蘧	ahg
菽	ahi
颐	ahk
臣	ahn
邪	aht
牙	aht
茈	ahx
茳	aia
范	aib
菹	aie
萍	aig
莎	aii
藻	aik
荡	ain
鸫	aiq
蒎	air
蒲	ais
蔽	ait
茫	aiy
蕞	ajb
莫	ajd
萌	aje
蔓	ajl
葛	ajq
蓝	ajt
郾	ajv
葺	akb
勤	akg
匮	akh
颧	akk
莴	akm
燕	aku
蔑	ala
茵	ald
薯	alf
葸	aln
莲	alp
萝	alq
菌	alt
匦	alv
英	amd
苒	amf
茼	amg
匝	amh
苘	amk
苋	amq
黄	amw
苠	ana
蔚	anf
蔬	anh
薜	ank
贳	anm
蕊	ann
蓼	anw
忒	any
蔗	aoa
蘼	aos
蘑	aos
蒌	aov
菪	apd
劳	ape
蒙	apf
莹	apg
荥	api
萤	apj
营	apk
荤	apl
茕	apn
荧	apo
菀	apq
荣	aps
荦	apt
蓉	apw
萦	apx
芪	aqa
苑	aqb
萏	aqe
蓟	aqg
荀	aqj
警	aqk
苞	aqn
菊	aqo
葱	aqr
葡	aqs
萄	aqt
芡	aqw
芍	aqy
葩	arc
菝	ard
瓯	arg
欧	arq
萆	art
殴	arw
苯	asg
葙	ash
蕈	asj
苛	ask
菥	asr
菘	asw
苌	ata
莠	atb
医	atd
芊	atf
董	atg
蓰	ath
莉	atj
蓖	atl
薇	atm
薛	atn
蕃	ato
藜	atq
莪	atr
萎	atv
蘩	atx
臧	aua
蒴	aub
菩	auk
茨	auq
茭	aur
薪	aus
蒺	aut
蒹	auv
蔺	auw
菇	avd
荨	avf
萧	avh
茹	avk
芄	avy
苍	awb
蓊	awc
茯	awd
蔡	awf
葵	awg
莜	awh
芥	awj
葆	awk
巷	awn
茶	aws
荏	awt
莅	awu
芬	awv
巫	aww
花	awx
恐	awy
荭	axa
荮	axf
莼	axg
蕴	axj
药	axq
芗	axt
芘	axx
茺	ayc
苄	ayh
蔼	ayj
蓑	ayk
蒿	aym
芦	ayn
葶	ayp
鸢	ayq
蓠	ayr
蔟	ayt
蒂	ayu
莨	ayv
萃	ayw
蓄	ayx
陈	bai
子	bbb
陬	bbc
陉	bca
聂	bcc
聚	bci
盈	bcl
娶	bcv
隋	bda
随	bde
承	bdi
陌	bdj
颇	bdm
陇	bdx
阻	beg
孺	bfd
陡	bfh
际	bfi
阱	bfj
阮	bfq
陵	bfw
陆	bgb
耳	bgh
隔	bgk
陋	bgm
阢	bgq
陕	bgu
蚩	bhg
骘	bhh
鼐	bhn
函	bib
卺	big
隙	bij
逊	bip
陧	bjf
隅	bjm
隰	bjx
亟	bkc
聩	bkh
陨	bkm
职	bkw
勐	ble
隈	blg
祟	bmf
聘	bmg
粜	bmo
院	bpf
耽	bpq
聍	bps
陀	bpx
陷	bqe
孢	bqn
聊	bqt
隐	bqv
阪	brc
孤	brc
隍	brg
隗	brq
陴	brt
阿	bsk
聒	btd
阡	btf
隆	btg
阼	bth
联	bud
隧	bue
障	buj
陪	buk
隘	buw
附	bwf
除	bwg
阶	bwj
聆	bwy
陛	bxx
孩	byn
颈	cad
劲	cae
迳	cap
巯	cay
又	ccc
叁	cdd
毵	cde
参	cde
畚	cdl
犄	cds
勇	cee
通	cep
熊	cex
能	cex
犊	cfn
驱	cga
骤	cgb
驭	cgc
骑	cgd
驵	cge
骊	cgg
骒	cgj
驯	cgk
骡	cgl
骋	cgm
骣	cgn
驼	cgp
驹	cgq
驳	cgr
骠	cgs
骄	cgt
骈	cgu
验	cgw
驴	cgy
邰	ckb
怠	ckn
炱	cko
迨	ckp
观	cmq
巴	cnh
鸡	cqg
物	cqr
欢	cqw
矣	ctd
牿	ctf
牲	ctg
犍	cvg
皴	cwt
难	cwy
蚤	cyj
犒	cym
犏	cyn
砑	dah
礴	dai
厝	daj
砸	dam
碟	dan
礞	dap
奁	dar
硗	dat
砌	dav
礤	daw
硭	day
顾	dbd
础	dbm
磉	dcc
碜	dcd
码	dcg
雄	dcw
磊	ddd
碱	ddg
厦	ddh
厣	ddl
硕	ddm
魇	ddr
厮	ddw
郁	deb
髦	dee
髻	def
髭	deh
鬟	del
髯	dem
鬃	dep
鹕	deq
鬈	deu
髫	dev
髹	dew
奔	dfa
磕	dfc
辰	dfe
奎	dff
奈	dfi
砖	dfn
奢	dft
压	dfy
研	dga
砘	dgb
古	dgh
硬	dgj
咸	dgk
礓	dgl
碛	dgm
厉	dgq
砰	dgu
威	dgv
碡	dgx
戛	dha
存	dhb
慧	dhd
甭	dhe
在	dhf
歪	dhg
蹙	dhi
还	dhp
艳	dhq
夏	dht
契	dhv
磲	dia
硝	die
砂	dit
厚	djb
厘	djf
碍	djg
砷	djh
奄	djn
碣	djq
面	dlj
碘	dma
碳	dmd
碉	dmf
硐	dmg
布	dmh
厕	dmj
砚	dmq
碾	dna
嘏	dnh
尴	dnj
盛	dnl
尥	dnq
砀	dnr
尬	dnw
尤	dny
盔	dol
磷	doq
碹	dpg
碗	dpq
牵	dpt
砣	dpx
砥	dqa
兢	dqd
确	dqe
鸪	dqg
砍	dqw
愿	dri
原	dri
爽	drr
碑	drt
厢	dsh
碴	dsj
奇	dsk
邦	dtb
寿	dtf
砟	dth
硌	dtk
硇	dtl
砾	dtn
砭	dtp
硪	dtr
磋	dua
劂	dub
磙	duc
鹩	duj
碚	duk
碰	duo
磁	dux
厩	dva
肆	dvg
碌	dvi
砼	dwa
期	dwe
基	dwf
奉	dwg
春	dwj
欺	dwq
斯	dwr
秦	dwt
雁	dww
綦	dwx
矾	dwy
砩	dxj
砒	dxx
聋	dxy
龙	dxy
礅	dyb
硫	dyc
态	dyn
磅	dyu
碎	dyw
腻	eaf
胨	eai
朦	eap
毁	eaw
郛	ebb
服	ebc
乳	ebn
胫	eca
胎	eck
毪	ect
肱	edc
胯	edf
胚	edh
貊	edj
腼	edl
须	edm
腠	edw
胧	edx
肽	edy
脬	eeb
月	eee
鹏	eeq
胁	eew
肢	efc
肼	efj
膨	efk
腩	efm
肟	efn
脖	efp
朊	efq
豺	eft
肫	egb
县	egc
爰	egd
助	ege
膈	egk
肺	egm
雎	egw
胰	egx
叟	ehc
腓	ehd
胩	ehh
毡	ehk
胪	ehn
胱	eig
盥	eil
膛	eip
胆	ejg
腽	ejl
腥	ejt
驾	ekc
肿	ekh
腭	ekk
贺	ekm
迦	ekp
架	eks
袈	eky
胭	eld
舅	ele
舆	elg
腮	eln
爵	elv
腆	ema
胴	emg
觅	emq
肭	emw
脲	eni
肠	enr
鼠	enu
脏	eof
毯	eoo
膦	eoq
臁	eou
腑	eow
受	epc
爱	epd
脓	epe
腙	epf
腚	epg
腕	epq
膑	epr
胺	epv
腔	epw
胝	eqa
脆	eqd
氇	eqg
朐	eqk
胞	eqn
舄	eqo
胸	eqr
肷	eqw
豹	eqy
胍	erc
腺	eri
邈	erq
貌	erq
脎	ers
脾	ert
彩	ese
膊	esf
腰	esv
膝	esw
胀	eta
遥	etf
胜	etg
臼	eth
腹	etj
胳	etk
貔	etl
用	etn
彡	ett
豸	ety
胼	eua
朕	eud
胖	eug
臆	euj
脱	euk
氆	euo
胶	eur
膳	euu
毽	evg
貂	evk
腿	evp
股	ewc
胗	ewe
脍	ewf
脸	ewg
貅	ews
脞	eww
奚	exd
脂	exj
脐	eyj
膻	eyl
脉	eyn
脑	eyr
膀	eyu
肮	eyw
臃	eyx
霰	fae
霸	faf
哉	fak
载	fal
贲	fam
堞	fan
栽	fas
塔	faw
裁	fay
圾	fby
却	fcb
动	fce
盍	fcl
翅	fcn
运	fcp
魂	fcr
埃	fct
雳	fde
震	fdf
坏	fdh
埯	fdj
需	fdm
城	fdn
塬	fdr
堪	fdw
垅	fdx
堋	fee
埒	fef
霾	fej
霓	feq
协	few
坛	ffc
填	ffh
款	ffi
雩	ffn
堵	fft
墙	ffu
垤	fgc
圩	fgf
士	fgh
垣	fgj
塥	fgk
垭	fgo
坪	fgu
越	fha
趣	fhb
霏	fhd
趄	fhe
矗	fhf
赴	fhh
趟	fhi
坫	fhk
盐	fhl
起	fhn
墟	fho
趋	fhq
赵	fhr
趱	fht
超	fhv
真	fhw
霄	fie
霈	fig
墚	fiv
戟	fja
朝	fje
埋	fjf
坦	fjg
坤	fjh
墁	fjl
塌	fjn
进	fjp
埸	fjq
乾	fjt
翰	fjw
颉	fkd
袁	fke
埕	fkg
酃	fkk
埚	fkm
喜	fku
塄	fly
垌	fmg
垲	fmn
献	fmu
韦	fnh
墀	fni
霹	fnk
卖	fnu
块	fnw
坭	fnx
专	fny
郝	fob
赫	fof
塘	fov
勃	fpb
垸	fpf
壹	fpg
毂	fpl
壶	fpo
壳	fpw
索	fpx
坻	fqa
顽	fqd
鼋	fqk
雹	fqn
远	fqp
均	fqu
坎	fqw
坂	frc
垢	frg
埤	frt
坼	fry
耢	fsa
耔	fsb
耙	fsc
耨	fsd
耗	fse
博	fsf
霜	fsh
耦	fsj
坷	fsk
耜	fsn
耱	fso
霖	fss
耠	fsw
孝	ftb
嫠	ftd
雾	fte
霆	ftf
考	ftg
埏	fth
者	ftj
垧	ftm
埠	ftn
老	ftx
丧	fue
幸	fuf
境	fuj
培	fuk
啬	ful
增	ful
霎	fuv
埭	fvi
埽	fvp
逵	fwf
堠	fwn
垛	fws
赍	fww
堆	fwy
墩	fyb
霁	fyj
壤	fyk
垓	fyn
壕	fyp
垴	fyr
坑	fyw
邢	gab
形	gae
武	gah
瑾	gak
盏	gal
瑛	gam
珙	gaw
屯	gbn
至	gcf
玛	gcg
瑚	gde
环	gdh
蚕	gdj
吞	gdk
顼	gdm
忝	gdn
琦	gds
琪	gdw
珑	gdx
瑗	geg
珈	gek
靓	gem
逐	gep
静	geq
瑶	get
珐	gfc
盂	gfl
玮	gfn
迂	gfp
玩	gfq
琶	ggc
琢	gge
王	ggg
五	ggh
球	ggi
替	ggj
辇	ggl
一	ggl
瑟	ggn
琴	ggw
琵	ggx
珏	ggy
焉	ghg
玷	ghk
忑	ghn
璨	ghq
政	ght
琥	ghw
琐	gim
裘	giy
求	giy
理	gjf
亘	gjg
惠	gjh
更	gjr
琨	gjx
囊	gkh
副	gkl
融	gkm
带	gkp
吏	gkr
豆	gku
事	gkv
画	glb
琏	glp
遭	gma
瑞	gmd
再	gmf
珊	gmm
规	gmq
丙	gmw
丽	gmy
珉	gna
琚	gnd
欤	gng
与	gng
瑕	gnh
瓦	gnn
垩	gof
晋	goj
恶	gon
琰	goo
严	got
璞	gou
瑭	gov
琮	gpf
珲	gpl
琬	gpq
殛	gqb
殆	gqc
殍	gqe
殖	gqf
残	gqg
列	gqj
趸	gqk
殃	gqm
迈	gqp
殉	gqq
殊	gqt
殚	gqu
殁	gqw
死	gqx
玖	gqy
碧	grd
瑰	grq
珂	gsk
琳	gss
珠	gtf
珩	gtg
珞	gtk
璁	gtl
夹	gud
平	guf
璋	guj
赉	gus
来	gus
妻	gvh
瑙	gvt
玳	gwa
珍	gwe
瑜	gwg
玢	gwv
玲	gwy
纛	gxh
素	gxi
夷	gxw
琉	gyc
斑	gyg
琼	gyi
璃	gyr
班	gyt
琅	gyv
虐	hag
瞄	hal
眍	har
眙	hck
睃	hcw
睚	hdf
悲	hdh
瞍	heh
瞬	hep
睨	heq
睬	hes
歧	hfc
眭	hff
睹	hft
睦	hfw
盹	hgb
遽	hge
睛	hge
盱	hgf
凸	hgh
睐	hgu
睫	hgv
频	hhd
止	hhg
目	hhh
丨	hhl
矍	hhw
眦	hhx
督	hic
叔	hic
瞠	hip
眇	hit
桌	hjs
战	hka
虞	hkg
觇	hkm
乩	hkn
点	hko
卣	hln
鹾	hlr
卤	hlr
眠	hna
瞰	hnb
鼎	hnd
凹	hnh
鸬	hnq
瞩	hnt
觑	hom
瞵	hoq
瞎	hpd
壑	hpg
瞑	hpj
眈	hpq
粲	hqc
餐	hqc
瞻	hqd
眺	hqi
眵	hqq
睁	hqv
瞟	hsf
睡	htg
瞅	hto
眨	htp
瞳	huj
睇	hux
齿	hwb
彪	hwe
瞪	hwg
瞧	hwy
砦	hxd
些	hxf
赀	hxm
觜	hxq
柴	hxs
雌	hxw
紫	hxx
訾	hxy
眩	hyx
漭	iad
懑	iag
漠	iaj
灌	iak
潢	iam
涝	iap
鸿	iaq
沤	iar
柒	ias
浇	iat
沏	iav
洪	iaw
滠	ibc
泐	ibe
涵	ibi
婆	ibv
滁	ibw
汲	iby
泾	ica
渗	icd
涌	ice
泽	icg
治	ick
滩	icw
汊	icy
湖	ide
涯	idf
滟	idh
尜	idi
淹	idj
湎	idl
源	idr
涛	idt
潦	idu
湛	idw
泷	idx
汰	idy
浮	ieb
淝	iec
滔	iee
沮	ieg
溲	ieh
削	iej
逍	iep
淫	iet
溪	iex
灞	ifa
法	ifc
濡	ifd
潮	ifj
洁	ifk
污	ifn
渤	ifp
沅	ifq
渚	ift
浅	iga
沌	igb
添	igd
清	ige
沔	igh
洹	igj
滞	igk
渍	igm
洌	igq
光	igq
沫	igs
浃	igu
兴	igw
涉	ihh
淑	ihi
淖	ihj
沾	ihk
浈	ihm
滤	ihn
瀣	ihq
滹	iht
小	iht
濉	ihw
消	iie
淼	iii
水	iii
淌	iim
沙	iit
瀑	ija
温	ijl
溻	ijn
湿	ijo
渴	ijq
滥	ijt
混	ijx
灏	ijy
涓	ike
潞	ikh
溃	ikh
渑	ikj
澡	ikk
涡	ikm
涸	ild
渭	ile
涠	ilf
洄	ilk
涟	ilp
渐	ilr
泅	ilw
漯	ilx
澧	ima
湍	imd
滑	ime
溅	img
测	imj
尚	imk
涔	imw
泯	ina
潺	inb
漏	inf
渥	ing
湄	inh
涮	inm
汤	inr
泌	int
濯	inw
泥	inx
渡	ioa
瀵	iol
淡	ioo
濂	iou
溏	iov
漉	iox
黉	ipa
学	ipb
浓	ipe
尝	ipf
泻	ipg
泶	ipi
渖	ipj
常	ipk
浑	ipl
觉	ipm
涫	ipn
沈	ipq
滨	ipr
泞	ips
喾	ipt
滓	ipu
沉	ipw
沱	ipx
沟	iqc
澹	iqd
洮	iqi
洵	iqj
浼	iqk
涣	iqm
泡	iqn
淘	iqt
汹	irb
淆	ird
派	ire
浙	irr
浜	irw
激	iry
漂	isf
潭	isj
河	isk
淅	isr
淋	iss
漆	isw
弊	ita
沲	itb
活	itd
滗	ite
洗	itf
洚	itg
省	ith
潲	iti
洛	itk
洫	itl
澳	itm
憋	itn
潘	ito
泛	itp
鳖	itq
涤	its
海	itx
溯	iub
滚	iuc
湔	iue
漳	iuj
涪	iuk
澜	ius
溢	iuw
滋	iux
溉	iva
浔	ivf
渌	ivi
沼	ivk
淄	ivl
浸	ivp
染	ivs
梁	ivw
涩	ivy
沧	iwb
没	iwc
脊	iwe
浍	iwf
洽	iwg
沿	iwk
濮	iwo
滏	iwr
汾	iwv
浴	iww
沦	iwx
淮	iwy
泓	ixc
沸	ixj
涨	ixt
溺	ixu
潍	ixw
淳	iyb
流	iyc
瀛	iye
注	iyg
汴	iyh
浏	iyj
济	iyj
澶	iyl
沪	iyn
湾	iyo
濠	iyp
漓	iyr
洲	iyt
滴	iyu
浪	iyv
液	iyw
泫	iyx
蟒	jad
蚜	jah
蜡	jaj
蜮	jak
蠛	jal
蟥	jam
蝶	jan
蠓	jap
蛲	jat
晓	jat
暴	jaw
最	jbc
蜢	jbl
肾	jce
蛏	jcf
坚	jcf
蚂	jcg
贤	jcm
蛑	jct
竖	jcu
紧	jcx
蝴	jde
蝰	jdf
晨	jdf
蚌	jdh
晟	jdn
螈	jdr
蝽	jdw
蜉	jeb
暖	jeg
螋	jeh
盟	jel
暧	jep
野	jfc
蛙	jff
蟛	jfk
蝻	jfm
暑	jft
蛭	jgc
昊	jgd
晴	jge
题	jgh
蟪	jgj
量	jgj
晤	jgk
师	jgm
蛱	jgu
勖	jhe
畅	jhn
蛸	jie
晃	jig
螳	jip
曝	jja
蛳	jjg
晶	jjj
蝎	jjq
蜾	jjs
蜈	jkg
蝇	jkj
蜗	jkm
曼	jlc
蝈	jlg
蛔	jlk
螺	jlx
蛐	jma
映	jmd
蚺	jmf
帅	jmh
蚬	jmq
蚋	jmw
暇	jnh
遢	jnp
曳	jnt
曜	jnw
昵	jnx
蝼	jov
暄	jpg
螟	jpj
晕	jpl
蜿	jpq
晏	jpv
蛇	jpx
昂	jqb
蟾	jqd
晁	jqi
冕	jqk
易	jqr
昴	jqt
昀	jqu
遏	jqw
蜱	jrt
颗	jsd
螵	jsf
蚵	jsk
夥	jsq
晰	jsr
蜂	jtd
蛛	jtf
星	jtg
昨	jth
蜊	jtj
晌	jtm
虼	jtn
蟠	jto
蛾	jtr
蝌	jtu
晦	jtx
览	jty
蜷	jug
蝉	juj
暗	juj
蜕	juk
蜣	jun
蛟	jur
蝤	jus
蟮	juu
昭	jvk
蚣	jwc
暌	jwg
蛤	jwg
蚧	jwj
晔	jwx
蛉	jwy
蚴	jxe
蚓	jxh
蚍	jxx
昆	jxx
暾	jyb
蛀	jyg
景	jyi
蛴	jyj
曩	jyk
蝙	jyn
蚁	jyr
蝣	jyt
螃	jyu
螂	jyv
蟀	jyx
喏	kad
嘞	kaf
哐	kag
呀	kah
噶	kaj
喵	kal
咂	kam
呓	kan
唠	kap
哎	kar
哓	kat
哄	kaw
嚆	kay
嗫	kbc
咄	kbm
吼	kbn
啊	kbs
吸	kby
嗓	kcc
嗵	kce
吗	kcg
吮	kcq
唉	kct
唆	kcw
呃	kdb
呖	kde
喹	kdf
嘎	kdh
喱	kdj
顺	kdm
咴	kdo
哒	kdp
嘹	kdu
嘶	kdw
咙	kdx
咀	keg
嗖	keh
别	kej
咖	kek
嚼	kel
嗳	kep
鹃	keq
喷	kfa
吱	kfc
嚅	kfd
哇	kff
嗔	kfh
嘲	kfj
嘻	kfk
鄙	kfl
喃	kfm
哧	kfo
噎	kfp
呒	kfq
哮	kft
嚯	kfw
吨	kgb
吴	kgd
啄	kge
吓	kgh
哽	kgj
囔	kgk
嘈	kgm
饕	kgn
号	kgn
哑	kgo
逞	kgp
咧	kgq
唛	kgt
嗉	kgx
距	kha
趿	khb
踊	khc
跨	khd
啃	khe
跬	khf
践	khg
趾	khh
踏	khi
踢	khj
躁	khk
盅	khl
蹦	khm
忠	khn
嘘	kho
踪	khp
跑	khq
踬	khr
路	kht
蹉	khu
跟	khv
趴	khw
嘴	khx
啵	kib
哨	kie
咣	kig
唢	kim
嗨	kit
吵	kit
嘬	kjb
哩	kjf
呻	kjh
唱	kjj
喁	kjm
黾	kjn
喝	kjq
骂	kkc
器	kkd
鄂	kkf
串	kkh
品	kkk
鼍	kkl
咒	kkw
咽	kld
喟	kle
嘿	klf
喂	klg
嗣	kma
郧	kmb
喘	kmd
勋	kme
啁	kmf
吊	kmh
嘤	kmm
哕	kmq
呐	kmw
叼	kng
叫	knh
噼	knk
唰	knm
嘱	knt
呢	knx
啖	koo
嘛	kos
噗	kou
喽	kov
噻	kpa
哝	kpe
啶	kpg
喧	kpg
嘧	kpn
咛	kps
喀	kpt
嚓	kpw
鸣	kqg
唤	kqm
咆	kqn
哆	kqq
吻	kqr
啕	kqt
吹	kqw
唣	kra
呱	krc
嗥	krd
哌	kre
啪	krr
啤	krt
啦	kru
嘌	ksf
喳	ksj
呵	ksk
噤	kss
噬	kta
唾	ktg
咱	kth
咯	ktk
响	ktm
呜	ktn
吃	ktn
啾	kto
哦	ktr
呼	ktu
嗟	kua
嗍	kub
喑	kuj
噌	kul
咬	kur
唼	kuv
嗌	kuw
唧	kvb
呶	kvc
啸	kvh
呛	kwb
嗡	kwc
咐	kwf
哈	kwg
嗲	kwr
咻	kws
吩	kwv
唑	kww
哗	kwx
呦	kxe
吲	kxh
哟	kxq
哔	kxx
哼	kyb
唷	kyc
哜	kyj
嚷	kyk
咏	kyn
嚎	kyp
嗾	kyt
啼	kyu
啷	kyv
吭	kyw
轼	laa
墼	lbw
轻	lca
轰	lcc
轭	ldb
囿	lde
罘	ldh
罨	ldj
恩	ldn
畸	lds
畴	ldt
辏	ldw
嬲	lev
罢	lfc
畦	lff
辕	lfk
罱	lfm
转	lfn
黑	lfo
园	lfq
署	lft
团	lft
圉	lfu
囤	lgb
轾	lgc
畏	lge
罡	lgh
畀	lgj
辐	lgk
辆	lgm
